XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
-482.6835;313.3865;906.5459;-444.7910;400.3337;1128.9717;-391.8025;400.0070;1456.6162
-482.6606;313.4733;906.5723;-444.7155;400.5535;1129.0737;-391.6487;400.0403;1456.6640
-482.5715;313.5661;906.6675;-444.6147;400.5704;1129.0754;-391.5276;400.1608;1456.6950
-482.5681;313.7016;906.6782;-444.5116;400.5945;1129.0754;-391.4491;400.4269;1456.7237
-482.5332;313.8231;906.7157;-444.4318;400.6211;1129.1011;-391.3770;400.6118;1456.7772
-482.4295;313.9013;906.8363;-444.3414;400.6505;1129.1011;-391.2782;400.6510;1456.8111
-482.3621;314.0056;906.9122;-444.2703;400.9717;1129.1863;-391.1222;400.6586;1456.8623
-482.3154;314.1173;906.9361;-444.2103;401.2665;1129.3219;-391.0247;400.6894;1456.9567
-482.2364;314.2246;907.0071;-444.1439;401.4899;1129.4380;-390.9123;400.6894;1457.0199
-482.1874;314.3293;907.0428;-444.0767;401.6735;1129.5243;-390.7951;400.6894;1457.0651
-482.1068;314.4517;907.1116;-444.0065;401.8207;1129.5927;-390.6780;400.7453;1457.0957
-482.0426;314.5831;907.1502;-443.9394;401.9565;1129.6506;-390.5527;400.8156;1457.1170
-481.9759;314.7127;907.1888;-443.8680;402.0880;1129.7111;-390.4462;400.8844;1457.1513
-481.9119;314.8535;907.2179;-443.7997;402.2127;1129.7580;-390.3278;400.9495;1457.1673
-481.8558;314.9971;907.2460;-443.7289;402.3363;1129.8069;-390.2056;401.0047;1457.1730
-481.7920;315.1412;907.2686;-443.6571;402.4514;1129.8485;-390.0945;401.0678;1457.1860
-481.7322;315.2922;907.2869;-443.5871;402.5587;1129.8924;-389.9912;401.1241;1457.2033
-481.7001;315.4670;907.2919;-443.5214;402.6682;1129.9217;-389.8919;401.1566;1457.2237
-481.6220;315.5944;907.3229;-443.4554;402.7761;1129.9577;-389.7941;401.1747;1457.2481
-481.5514;315.7326;907.3303;-443.3924;402.8797;1129.9758;-389.7086;401.1787;1457.2742
-481.5294;315.9055;907.3308;-443.3277;402.9384;1129.9758;-389.6325;401.2003;1457.2982
-481.4813;316.0573;907.3404;-443.2459;402.9384;1129.9758;-389.5876;401.3112;1457.3248
-481.4507;316.2337;907.3404;-443.1649;402.9629;1129.9214;-389.5748;401.4496;1457.3471
-481.3865;316.3582;907.3943;-443.0561;402.9655;1129.8738;-389.5748;401.6139;1457.3910
-481.3065;316.5004;907.3987;-442.9387;402.9655;1129.8738;-389.5697;401.7416;1457.4484
-481.2737;316.6920;907.4079;-442.8388;403.0216;1129.8738;-389.5697;401.8543;1457.5032
-481.2105;316.8565;907.4079;-442.7481;403.1564;1129.8738;-389.5697;401.8965;1457.5587
-481.1571;317.0015;907.4017;-442.6781;403.1793;1129.8713;-389.5511;401.9797;1457.5944
-481.1066;317.1517;907.3987;-442.6234;403.2092;1129.8945;-389.5201;401.9797;1457.6198
-481.0615;317.2955;907.3636;-442.5755;403.2571;1129.8945;-389.4858;401.9797;1457.6482
-481.0192;317.4331;907.3503;-442.5448;403.4833;1129.9968;-389.4010;401.9845;1457.6792
-480.9902;317.5672;907.3400;-442.5309;403.5630;1130.0336;-389.3333;401.9845;1457.6921
-480.9808;317.7028;907.3400;-442.4898;403.5680;1130.0365;-389.3053;401.9324;1457.7096
-480.9609;317.8245;907.3400;-442.4356;403.6533;1130.0907;-389.2681;401.9314;1457.7379
-480.9283;317.9227;907.3525;-442.3962;403.7996;1130.1575;-389.2033;401.9314;1457.7591
-480.9025;318.0099;907.3616;-442.3677;403.8633;1130.1689;-389.1443;401.9190;1457.7690
-480.9001;318.1213;907.3833;-442.3331;403.8633;1130.1689;-389.0943;401.9190;1457.7851
-480.8703;318.1823;907.3833;-442.3124;403.8727;1130.1689;-389.0460;401.9083;1457.7876
-480.8566;318.2577;907.3928;-442.2786;403.8797;1130.1372;-389.0086;401.9053;1457.7970
-480.8490;318.3122;907.4013;-442.2543;403.8797;1130.1371;-388.9546;401.9053;1457.8056
-480.8336;318.3122;907.4263;-442.2256;403.8885;1130.1154;-388.9143;401.8997;1457.8105
-480.8336;318.3122;907.4806;-442.2163;403.8949;1130.0953;-388.8745;401.8898;1457.8139
-480.8336;318.2391;907.5723;-442.2163;403.9801;1130.0953;-388.8207;401.7939;1457.8163
-480.8238;318.1415;907.6284;-442.2163;404.1667;1130.0792;-388.7632;401.6185;1457.8169
-480.8238;317.8821;907.8087;-442.3262;404.6235;1130.0756;-388.6085;401.1021;1457.8169
-480.8090;317.4985;908.1777;-442.4568;404.9205;1130.0696;-388.4870;400.7178;1457.8169
-480.8090;316.9887;908.5807;-442.6425;405.4250;1130.0325;-388.2304;400.0797;1457.7516
-480.8090;316.1958;909.2366;-442.9128;405.9737;1130.0082;-387.9670;399.3031;1457.6954
-480.8570;315.1976;910.0483;-443.2294;406.6195;1130.0082;-387.7278;398.4549;1457.6954
-480.9617;313.9229;911.2089;-443.6397;407.4078;1130.0082;-387.5058;397.5095;1457.6954
-481.1137;312.3500;912.7551;-444.1435;408.3116;1130.1844;-387.3422;396.6458;1457.7927
-481.3392;310.6257;914.4475;-444.7216;409.3252;1130.5199;-387.3422;395.9561;1458.0068
-481.6431;308.7230;916.3491;-445.3975;410.3777;1130.8984;-387.3422;395.4736;1458.3484
-482.0053;306.6012;918.4545;-446.1463;411.4606;1131.3617;-387.4230;395.1481;1458.8242
-482.3886;304.2137;920.8134;-446.9389;412.5333;1131.8887;-387.6503;394.9387;1459.4419
-482.8015;301.5261;923.4422;-447.7737;413.5877;1132.4617;-387.9328;394.8209;1460.1383
-483.1174;298.4724;926.3139;-448.6553;414.5930;1133.0977;-388.2077;394.6606;1460.8826
-483.1174;295.0629;929.5372;-449.5930;415.5008;1133.7447;-388.4682;394.5058;1461.6289
-483.1174;291.1273;933.0821;-450.5799;416.2817;1134.4143;-388.7013;394.3833;1462.3712
-483.0159;286.5944;936.6368;-451.5769;416.5314;1135.1278;-388.9132;394.3833;1463.1416
-482.4852;281.4844;940.9312;-452.8590;416.6535;1135.7625;-388.9645;394.3833;1463.7494
-481.8026;275.7807;945.8306;-454.0946;416.6535;1136.3867;-388.9645;394.7702;1464.4078
-480.9620;269.5442;951.1873;-455.1158;416.5314;1137.4618;-388.9645;394.9784;1465.1624
-480.0694;262.8165;956.8644;-456.0895;416.2967;1138.4586;-388.9316;395.2237;1465.9508
-479.1875;255.8230;962.9345;-457.0520;415.5339;1139.3955;-388.8058;395.4471;1466.7471
-478.2744;248.5844;969.4175;-458.1501;414.1795;1140.1798;-388.4858;395.4858;1467.3981
-477.3892;240.8144;976.4991;-459.2928;412.4506;1141.0797;-388.0124;395.4858;1467.9998
-476.3393;232.8170;983.8318;-460.5679;410.3654;1142.0317;-387.3983;395.4861;1468.4853
-475.1796;224.5061;991.6330;-461.9172;407.8651;1143.0328;-386.6926;395.4861;1468.8669
-474.0610;216.3228;999.5614;-463.2092;405.0387;1144.0388;-386.0085;395.4861;1469.2172
-472.7106;207.7473;1008.1383;-464.0659;401.8352;1144.5243;-385.7355;396.2887;1469.7480
-470.9835;198.8179;1016.9790;-465.2234;397.8272;1145.3080;-385.2331;397.1465;1470.0375
-468.8762;189.4835;1026.1447;-466.2520;393.4699;1146.2613;-384.7347;397.9683;1470.3041
-466.5971;179.9881;1035.9226;-467.2105;388.8548;1147.3960;-384.2018;398.7590;1470.5052
-463.9354;170.3689;1045.4144;-468.1069;383.8246;1148.5042;-383.6698;399.5132;1470.6504
-461.2807;160.4931;1054.9973;-468.6703;378.4021;1149.7065;-383.2677;400.2639;1470.8416
-458.6711;150.8779;1065.4461;-469.1819;373.5574;1151.0813;-382.7100;400.3097;1471.0593
-456.0178;141.3415;1076.1759;-469.6316;367.7448;1152.3785;-382.2106;400.4416;1471.1812
-453.2733;131.8616;1087.0272;-470.1588;361.4246;1153.7806;-381.5853;400.4894;1471.1812
-450.4145;122.4398;1097.9720;-470.2706;354.6321;1155.1455;-381.2046;400.8533;1471.1812
-447.5328;113.3208;1109.1695;-470.5073;347.5852;1156.7628;-380.6658;401.0036;1471.1768
-444.4457;104.2363;1120.5243;-470.6092;340.0252;1158.3628;-380.1757;401.0469;1471.0607
-441.1624;95.1075;1131.7384;-470.6092;332.4660;1160.8055;-379.5409;401.0469;1471.0607
-437.8575;86.2296;1142.9028;-470.6092;324.1115;1162.4921;-379.1363;401.0469;1471.0607
-434.6580;77.8835;1154.2944;-470.1824;315.5633;1164.3253;-378.8528;400.9880;1471.1400
-431.3508;69.7436;1165.6501;-469.3262;305.5719;1168.0561;-377.9518;400.2145;1471.2444
-427.9574;60.1546;1177.4396;-468.6618;296.7558;1171.8155;-376.9099;398.9058;1471.2444
-424.0661;51.9554;1187.7661;-468.4591;288.3173;1175.9560;-375.9680;398.5744;1471.2444
-420.0877;44.0610;1198.1200;-467.7901;279.0644;1179.5290;-375.5391;398.4739;1471.3010
-416.4487;35.7154;1208.6448;-466.6009;269.7782;1183.3063;-374.9424;397.9871;1471.3010
-412.5670;28.1213;1218.5703;-465.0606;260.9955;1187.0267;-374.2332;396.7082;1471.6786
-408.5630;21.1140;1228.3824;-463.3769;252.7039;1191.0190;-373.3260;395.1016;1472.4940
-404.5910;14.4214;1238.0754;-461.2043;244.2734;1194.4800;-372.4890;393.3968;1473.5744
-400.5419;7.7089;1247.5199;-459.2509;236.2799;1198.6885;-371.4000;391.8610;1474.4147
-396.5002;1.2032;1256.6132;-457.0305;228.2932;1202.9854;-370.3821;390.4633;1475.3543
-392.2620;-6.0901;1265.5551;-454.6790;220.4530;1207.4808;-369.4663;389.3539;1476.2161
-388.1673;-12.1850;1273.9507;-452.0831;213.2060;1212.7326;-368.7854;388.9538;1476.8510
-383.7291;-18.2046;1282.4478;-449.0227;205.5273;1216.6602;-368.2152;387.7756;1478.2971
-379.6361;-23.8578;1290.3534;-446.4106;198.2983;1221.5665;-367.6019;387.3504;1478.9192
-375.1372;-29.7972;1298.2282;-443.7676;191.8281;1226.8778;-366.9759;387.0789;1479.4217
-370.5385;-35.2600;1305.7978;-440.5513;185.1897;1231.3985;-366.8059;386.9256;1480.1631
-366.1879;-40.4020;1312.9224;-437.4250;178.8455;1235.9494;-366.5686;386.9256;1480.7062
-361.7564;-45.2406;1319.6992;-434.3628;172.8204;1240.5582;-366.3881;386.9256;1481.0460
-357.6648;-49.8323;1325.9820;-431.2151;167.1121;1245.0307;-366.3881;386.9609;1481.3121
-353.3331;-54.1193;1331.9001;-427.9995;161.7852;1249.4350;-366.3881;387.1203;1481.5927
-349.1114;-57.7119;1337.2817;-424.6950;156.6602;1253.4833;-366.3935;387.2696;1481.8307
-344.9550;-62.6166;1342.9551;-421.4553;152.0062;1257.5468;-366.4031;387.3977;1482.0823
-340.6585;-66.4763;1347.5994;-418.2916;147.7573;1261.5474;-366.4168;387.4611;1482.3545
-336.5895;-70.0627;1352.1377;-415.0959;143.6983;1265.3930;-366.4192;387.5907;1482.5706
-332.6441;-73.4527;1356.1926;-411.2655;139.7259;1268.1922;-366.8209;387.6168;1483.3356
-328.8599;-76.7249;1359.9090;-407.6826;136.4994;1271.4065;-366.8209;387.6168;1484.0142
-325.2260;-79.8095;1363.1730;-404.3366;133.5281;1274.5389;-366.8209;387.6168;1484.7827
-321.6613;-82.1863;1365.9091;-401.0787;130.7676;1277.5007;-366.7261;387.4717;1485.4968
-318.4947;-85.4130;1368.7381;-397.9793;128.2341;1280.3590;-366.4066;387.2801;1486.0845
-315.3735;-88.0438;1370.9577;-394.9357;125.9306;1283.0182;-366.0896;387.0376;1486.7816
-312.4260;-90.4728;1372.9186;-392.0124;123.9098;1285.4996;-365.7264;386.7748;1487.4413
-309.4613;-92.8115;1374.5394;-389.2227;122.0940;1287.8213;-365.3885;386.5619;1488.0716
-306.8473;-94.9170;1375.9341;-386.4760;120.4797;1289.8765;-365.1699;386.4005;1488.7628
-304.5376;-96.7746;1377.1106;-383.7421;118.9793;1291.3653;-364.9951;386.1436;1489.6747
-302.3944;-98.4839;1378.1798;-381.4831;117.8720;1293.1592;-364.7253;385.9666;1490.2673
-300.3757;-100.0811;1379.0904;-379.3725;116.8237;1294.7207;-364.5458;385.8084;1490.7540
-298.4081;-101.4369;1379.8662;-377.3622;115.8304;1296.0545;-364.4093;385.6033;1491.2051
-296.3640;-102.5033;1380.3792;-375.6363;114.9185;1297.1881;-364.2196;385.3398;1491.5834
-294.3236;-103.2760;1380.7902;-374.0786;113.9580;1298.0855;-364.1867;385.2559;1491.6540
-292.2466;-103.8016;1381.1593;-372.8549;113.4207;1298.9730;-364.1797;385.2051;1491.7708
-290.1273;-103.8016;1381.4834;-371.6258;112.9767;1299.5681;-364.1797;385.2051;1491.7708
-288.0873;-103.8016;1381.7816;-370.5826;112.6243;1300.0614;-364.1797;385.2051;1491.7708
-286.3510;-103.7572;1381.7816;-369.6659;112.4838;1300.2718;-364.1797;385.2451;1491.6838
-284.9377;-103.3889;1381.7816;-368.8669;112.4838;1300.2718;-364.1797;385.2451;1491.4760
-283.8354;-102.9912;1381.7020;-368.0566;112.4838;1300.2718;-364.1460;385.2451;1491.4760
-283.0492;-102.5955;1381.5985;-367.2104;112.6999;1300.1867;-363.8230;385.2381;1491.4760
-282.5102;-102.2384;1381.5026;-366.5213;113.0660;1299.8903;-363.3691;384.9753;1491.8252
-282.2142;-101.9717;1381.3131;-365.9987;113.5140;1299.6558;-362.9061;384.7478;1492.2004
-282.1843;-101.8023;1381.0405;-365.5809;113.9844;1299.2976;-362.5132;384.7478;1492.5349
-282.1843;-101.6580;1380.7568;-364.8464;114.1034;1298.3843;-362.4042;384.7092;1492.5537
-282.1843;-101.5127;1380.2445;-364.7668;114.6961;1297.8808;-362.3801;384.6728;1492.6707
-282.3270;-101.3493;1379.7911;-364.7668;115.2652;1297.3877;-361.9199;384.6728;1492.7693
-282.4194;-101.1427;1379.2611;-364.7668;115.6501;1296.9921;-361.5066;384.6728;1492.7693
-282.5916;-101.0276;1378.7939;-365.1895;115.8399;1296.7186;-361.2177;384.6728;1492.7693
-282.8192;-100.9707;1378.3319;-365.5995;115.8413;1296.5297;-361.1228;384.7454;1492.6166
-283.0893;-100.9082;1377.8455;-365.9832;115.8770;1296.4039;-361.1228;384.9312;1492.3451
-283.4394;-100.8662;1377.3581;-366.3127;115.9268;1296.3108;-361.1228;385.1265;1492.0902
-283.8642;-100.8353;1376.8085;-366.4728;115.9672;1296.1238;-361.3785;385.4354;1491.7635
-284.3045;-100.7945;1376.1707;-366.7311;116.1066;1295.9765;-361.4230;385.6292;1491.5439
-284.7892;-100.7732;1375.4946;-367.0805;116.2686;1295.8252;-361.4277;385.7117;1491.4835
-285.2041;-100.7666;1374.8015;-367.4175;116.4285;1295.6865;-361.4277;385.8497;1491.4420
-285.6289;-100.7666;1374.1693;-367.8009;116.5554;1295.4600;-361.4230;385.8497;1491.4420
-286.1690;-100.7666;1373.7132;-368.1955;116.6828;1295.3284;-361.4069;385.8497;1491.4420
-286.6636;-100.7972;1373.2017;-368.5954;116.8105;1295.1807;-361.2385;385.7920;1491.4788
-287.1260;-100.8274;1372.6716;-368.9570;116.9019;1295.0242;-361.0909;385.6729;1491.5306
-287.6832;-100.8721;1372.2014;-369.3933;116.9933;1294.9264;-360.8185;385.4683;1491.6068
-288.0924;-100.9331;1371.6460;-369.8093;117.0644;1294.8599;-360.5211;385.2409;1491.6670
-288.6028;-100.9961;1371.2731;-370.2452;117.1650;1294.7853;-360.2347;385.0137;1491.7255
