XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
47.4908;168.9139;927.1554;16.6301;278.4702;1153.2034;-34.2625;313.3199;1471.7220
50.3190;166.0104;928.8136;17.9134;277.9894;1153.4927;-34.8437;313.0413;1471.5804
53.4157;162.8907;930.5974;19.3373;277.3730;1153.8132;-35.3347;313.0413;1471.3746
56.6743;159.5602;932.5638;20.9403;276.6390;1154.1962;-35.8346;313.0413;1471.0778
60.0310;156.0074;934.7497;22.6546;275.8812;1154.6180;-36.2482;313.2433;1470.8134
63.4738;152.1897;937.1725;24.4963;275.0782;1155.0899;-36.7169;313.5856;1470.4812
67.0714;148.1881;939.7364;26.4155;274.2748;1155.6499;-36.7791;313.8139;1470.4111
70.6917;143.9145;942.6077;28.4178;273.3997;1156.2262;-37.0303;314.1802;1470.1891
74.2783;139.2362;945.5550;30.5042;272.4773;1156.8475;-37.3510;314.6072;1469.9410
78.0673;134.6291;948.9926;32.8600;271.1114;1157.1678;-37.5467;315.5416;1469.5323
81.8818;129.7425;952.7381;35.1589;269.8433;1157.5092;-37.7031;316.2395;1469.2197
85.7695;124.7637;956.7670;37.4042;268.7124;1158.2058;-37.8962;316.7473;1469.0627
89.6499;119.5922;961.1079;39.7403;267.6128;1159.0110;-38.1140;317.1087;1468.8632
94.0289;114.3930;966.0314;42.0909;266.5876;1159.9320;-38.4003;317.2400;1468.6885
97.9311;108.4489;972.0622;44.4932;265.5968;1160.9294;-38.6825;317.3135;1468.5566
101.8656;103.0273;977.2242;46.8699;264.7761;1162.2543;-39.0393;317.3174;1468.4983
105.5850;97.3425;982.9681;49.3925;263.7685;1163.5257;-39.3927;317.4182;1468.3871
109.1665;91.7189;989.1753;52.0029;262.5201;1164.8040;-39.6899;317.3174;1468.3871
112.6670;85.9223;995.4451;54.7495;261.2014;1166.1498;-39.9204;317.3174;1468.3871
116.0039;80.0569;1002.1219;56.8771;261.0895;1167.7735;-40.2855;316.7859;1468.5249
119.2078;74.0812;1009.1333;59.3746;260.5255;1169.5088;-40.6930;315.8352;1468.6862
122.3033;68.1362;1016.4998;61.9633;259.7795;1171.2681;-41.0442;315.3331;1468.9136
125.1279;62.1161;1024.0028;64.5396;258.9296;1173.0138;-41.2419;315.0565;1468.9729
127.6857;56.3079;1031.6682;67.1210;258.0235;1174.7667;-41.3332;315.0565;1469.0743
130.2281;50.4847;1039.9947;69.7139;256.9728;1176.4784;-41.3744;315.0565;1469.1882
132.6453;44.7656;1048.8285;72.2978;255.8929;1178.2082;-41.3744;315.2382;1469.1891
134.8165;39.2827;1057.8019;74.7875;254.7979;1179.9609;-41.3744;315.4582;1469.2553
136.9150;33.8612;1067.0811;77.2306;253.6951;1181.7232;-41.3721;315.8933;1469.3023
138.7718;28.5181;1076.6030;79.6413;252.4963;1183.4900;-41.2941;316.1890;1469.4486
140.4163;23.4509;1086.3899;81.8603;251.3574;1185.3793;-41.2941;316.5667;1469.5218
141.9037;18.9883;1096.5824;83.9673;250.2294;1187.2423;-41.2897;316.8568;1469.5376
143.0624;14.6193;1106.9667;86.1487;249.0750;1189.3997;-41.2085;316.9137;1469.6472
144.1000;9.7619;1116.8840;88.1074;247.8799;1191.2151;-41.2897;316.9137;1469.9713
145.0960;5.4739;1126.9270;89.8699;246.5886;1193.0466;-41.3314;316.8568;1470.3476
145.6222;1.8428;1136.9950;91.9005;245.2861;1195.4200;-41.3754;316.2547;1470.7195
146.0537;-1.7483;1147.3583;93.6342;244.0085;1197.3926;-41.4025;315.4286;1471.2666
146.2816;-4.8985;1157.7567;95.3554;242.6047;1199.4198;-41.4025;314.5242;1471.8178
146.2816;-7.5962;1168.3350;96.9630;241.2216;1201.3743;-41.3754;313.5868;1472.4775
146.2816;-10.2227;1178.7903;98.5398;239.7186;1203.3246;-41.3439;312.6024;1473.1380
145.8964;-12.9495;1189.4437;100.0625;238.0489;1205.2609;-41.3114;311.6883;1473.7781
145.4309;-15.3679;1199.9374;101.6502;236.3063;1207.2115;-41.2908;310.7206;1474.4146
144.6589;-17.9405;1210.3482;103.1165;234.4258;1209.1194;-41.0908;309.8897;1475.1244
143.8152;-20.0600;1220.9077;104.6655;232.4340;1211.0771;-40.9737;308.9623;1475.7587
142.3295;-21.9807;1231.5124;106.0959;230.2680;1212.9843;-40.7547;308.0487;1476.4940
141.0165;-23.9862;1241.8934;107.6292;228.1279;1215.1064;-40.6560;307.2888;1477.0277
139.5428;-25.6073;1252.1522;109.1470;225.8626;1217.1338;-40.4632;306.4280;1477.7495
138.0536;-26.9708;1262.2783;110.4723;223.6028;1219.1705;-40.2762;305.7913;1478.5017
136.4256;-28.5717;1272.5669;112.2096;221.2957;1221.0449;-39.9910;304.7780;1479.3838
134.7265;-29.8370;1282.4798;113.8635;219.1687;1223.3083;-39.8342;304.2101;1480.0248
132.9781;-30.8965;1292.1143;115.5200;216.9665;1225.6320;-39.6189;304.2101;1480.6495
131.2569;-31.7651;1301.5864;117.0875;214.5853;1227.9950;-39.4023;304.2101;1481.1728
129.5394;-32.5367;1310.8509;118.0962;211.3815;1229.8312;-38.8477;304.9405;1481.7607
127.7732;-33.1777;1319.7411;119.4943;208.6590;1232.3235;-38.5866;305.0948;1482.1241
125.9549;-33.6254;1328.4843;120.5047;206.8503;1234.7179;-38.1828;305.2389;1483.5380
124.1814;-33.9792;1337.0105;122.8745;204.1971;1237.1476;-38.0211;305.2389;1483.8346
122.3011;-34.2813;1345.2778;125.2548;201.7673;1239.8962;-37.9721;305.2389;1483.9943
120.3873;-34.5994;1353.1036;127.3556;199.3560;1242.6709;-37.8397;305.4449;1484.2353
118.3869;-34.7886;1360.7461;129.0013;196.8798;1245.3830;-37.6407;305.8604;1484.6325
116.4194;-34.7886;1368.2283;131.2031;194.3274;1248.4038;-37.5783;306.2692;1484.6333
114.4356;-34.7886;1375.4724;132.0239;191.8714;1250.9739;-37.1809;306.8595;1485.3504
112.3733;-34.7623;1382.5398;133.2528;189.3311;1253.6053;-36.8485;307.0938;1486.0224
110.2457;-34.4572;1389.0729;134.6581;186.9237;1256.4156;-36.6591;307.2312;1486.6008
108.2092;-34.0435;1395.6181;136.2743;184.6274;1259.2387;-36.5228;307.2377;1487.1492
106.0672;-33.5140;1401.9761;137.9223;182.4232;1262.2444;-36.4667;307.3416;1487.5799
103.9271;-32.8893;1408.3981;139.6693;180.3142;1265.4551;-36.4598;307.3692;1488.0094
101.7827;-32.1708;1414.8195;141.3088;178.2192;1268.4638;-36.3964;307.5227;1488.4941
99.6325;-31.4637;1420.9264;142.8413;176.1960;1271.5805;-36.3206;308.1695;1488.6433
97.4861;-30.7980;1426.7999;144.3071;174.0613;1274.6284;-36.1903;308.6568;1488.9701
95.3538;-30.1478;1432.4718;145.8335;172.0368;1277.6916;-36.1478;309.0353;1489.2357
93.2800;-29.3971;1438.0127;147.4079;170.0210;1280.5992;-36.0579;309.1838;1489.6544
91.2387;-28.6443;1443.3605;149.0273;168.2005;1283.6279;-36.0042;309.2546;1490.0130
89.1100;-27.8148;1448.5959;150.6928;166.3764;1286.8251;-35.9517;309.4969;1490.2360
87.0340;-26.8941;1453.7038;152.2099;164.5109;1289.8652;-35.8554;309.8596;1490.5288
84.9114;-25.8809;1458.6846;153.6280;162.7744;1292.7492;-35.7814;309.8596;1491.0266
82.4071;-22.6047;1462.3516;155.1275;161.1510;1295.5899;-35.6638;309.8596;1491.7285
80.6178;-20.4490;1466.4724;156.5144;159.5539;1298.2944;-35.5777;309.6797;1492.4269
78.7926;-18.5531;1470.5842;157.9226;157.9833;1301.0715;-35.5122;309.6269;1492.9317
76.9561;-16.9675;1474.6622;159.3124;156.5477;1303.8738;-35.4796;309.6269;1493.3053
75.0704;-15.4335;1478.6369;160.5119;155.0934;1306.5749;-35.3753;309.6269;1493.6678
73.1500;-13.9488;1482.4331;161.6347;153.5837;1309.3921;-35.1049;310.5179;1493.8418
71.4427;-12.5961;1486.3917;162.6409;152.1715;1312.1607;-35.0040;310.7041;1494.0689
69.5080;-11.2078;1490.0236;163.5860;150.8180;1314.7347;-34.8838;310.8322;1494.6521
67.6742;-9.7970;1493.7272;164.4807;149.4964;1317.3321;-34.7080;311.2471;1495.1276
65.7748;-8.5002;1497.3299;165.2892;148.1622;1319.8967;-34.5609;311.7892;1495.5734
63.7791;-7.1866;1500.7403;166.0854;146.8422;1322.5658;-34.4497;312.4461;1495.7668
61.7873;-5.9608;1504.1389;166.7834;145.5177;1325.1298;-34.2947;313.1461;1496.0476
59.6993;-4.6814;1507.4135;167.4771;144.2068;1327.7012;-34.1531;313.8191;1496.0476
57.6412;-3.4613;1510.5912;167.9687;142.9155;1330.4805;-33.8411;315.2639;1496.1222
55.5198;-2.2409;1513.6416;168.5160;141.5479;1333.3253;-33.6933;316.0755;1496.2039
53.3965;-1.0282;1516.6219;169.0472;140.2464;1336.0554;-33.5760;316.6110;1496.2039
51.2816;0.1254;1519.5938;169.5893;138.8870;1338.7520;-33.4540;317.0858;1496.4171
49.1839;1.2750;1522.5317;170.0529;137.4113;1341.5302;-33.2174;317.9452;1496.4564
47.0493;2.8013;1525.1659;170.3875;136.0087;1344.1910;-33.2174;318.3413;1496.7340
45.0247;3.9277;1528.0607;170.7939;134.6302;1346.7512;-33.2174;318.3413;1497.3193
42.7901;4.4404;1531.4145;171.2529;133.2112;1349.3126;-33.2236;318.3413;1497.9514
40.5886;5.5547;1534.2280;171.6555;131.7802;1352.0262;-33.2926;318.2789;1498.4614
38.5119;6.3130;1537.1177;171.9596;130.3191;1354.7246;-33.3754;318.1520;1499.0746
36.5504;6.8871;1539.8959;172.2129;128.7708;1357.4654;-33.5116;318.0425;1499.6968
34.6876;7.3603;1542.6376;172.3367;127.2196;1360.2311;-33.6390;317.9397;1500.3430
